Name,#,Idea or Message,Source,Type / Medium,Why It Is Significant,Year (approx.)
"Ansel Adams,Moonrise, Hernandez",14,Juxtaposes eternal sky with mortal landscape,https://www.anseladams.com/a-halloween-story-moonrise-hernandez/,Silver-gelatin photograph,"Landmark in environmental photography and darkroom craft

Веха в области экологической фотографии и создания фотолабораторий",1941
"Vincent van Gogh,The Starry Night",13,Conveys turbulent psyche and spiritual yearning,https://www.moma.org/collection/works/79802,Oil on canvas,"Modern art’s archetype of cosmic expressionism

Архетип космического экспрессионизма в современном искусстве",1889
"Katie Paterson,All the Dead Stars",20,"Visualizes cosmic mortality and data sublime

Визуализирует космическую смертность и возвышенные данные","https://katiepaterson.org/artwork/all-the-dead-stars/

http://artistsbooksandmultiples.blogspot.com/2014/01/katie-paterson-all-dead-stars.html",Laser-etched anodized aluminum map,Bridges astrophysics and elegy; ever-expanding catalogue,2009
"Olafur Eliasson,The Weather Project",17,"Questions climate, perception, collective experience

Вопросы климата, восприятия, коллективного опыта","https://olafureliasson.net/exhibition/the-weather-project-2003/

https://www.theguardian.com/artanddesign/2018/oct/02/how-we-made-olafur-eliasson-the-weather-project","Monofrequency lamps, mist, mirror","Drew 2 million visitors; milestone of relational/eco installation art

Собрал 2 миллиона посетителей; веха в развитии искусства реляционных/эко-инсталляций

— Появление технической возможнотсти точно передать восприятие от солнца внутри помещения. Сопровожденная научно, работа не просто эмулирует солнце,  дает возможность увидеть его, “не щурясь”, рассмотреть",2003
Nebra Sky Disc,2,Synchronizes lunar–solar calendars; blends empirical observation with myth,https://en.wikipedia.org/wiki/Nebra_sky_disc,Bronze disc inlaid with gold,"Oldest concrete image of the cosmos on metal; rewrites Bronze-Age astronomical capability

Древнейшее конкретное изображение космоса на металле; воссоздает астрономические возможности бронзового века","c. 1,800 BCE"
"James Turrell,Roden Crater",15,Turns landscape into naked-eye cosmological instrument,"https://rodencrater.com/spaces/all/

https://www.architime.ru/specarch/james_turrell/roden_crater.htm#1.jpg

https://art.art/blog/roden-crater-james-turrell",Land-art observatory,"Magnum opus of “Light and Space” movement; merges art, geology, astronomy

Ключевая работа движения “Свет и пространство”, объединяющее искусство, геологию, астрономию",1977-present
"Al-Sūfī,Book of Fixed Stars",8,Harmonizes Greek science with Islamic observations,https://www.loc.gov/item/2021667391/,Illuminated manuscript,"Standard celestial reference across Islamic world for centuries

Стандартная небесная система отсчета в исламском мире на протяжении веков",964 CE
Farnese Atlas,6,Embodies cosmos as burden of knowledge,https://www.electrummagazine.com/2016/09/the-farnese-atlas/,Marble sculpture,"Oldest surviving 3-D star globe; physical bridge between myth and astronomy

Старейший из сохранившихся трехмерных звездных глобусов; физический мост между мифом и астрономией",2nd C CE (copy of 2nd C BCE original)
"Hevelius,Firmamentum Sobiescianum",10,Updates naked-eye catalogue after telescopic age dawn,https://www.lindahall.org/experience/digital-exhibitions/out-of-this-world/22-the-innovations-of-hevelius-1690-1731/,Copperplate star atlas,"Rivals Bayer’sUranometria; last great pre-telescopic atlas

Конкуренты Bayer's Uranometria; последний великолепный атлас до телескопической разработки",1690
Lascaux “Chambre des Taureaux” constellation motif,1,Records early sky-watching; links animal myth to stellar pattern,http://ui.adsabs.harvard.edu/abs/1997ascu.conf..217R/abstract,Cave painting in ochre and charcoal,"Possibly the earliest graphic depiction of a known star cluster, showing Paleolithic cognitive mapping of the heavens

Возможно, это самое раннее графическое изображение известного звездного скопления, демонстрирующее палеолитическую когнитивную карту небес","c. 17,000 BCE"
"Александра Паперно, «Отмененные созвездия»",,,,Картины,,
"Лара Федорова, Лунограммы",,,,Лунограммы,,2020 – present
Dunhuang Star Chart,7,Integrates rival Chinese astronomical traditions,https://www.nature.com/articles/459778a,Ink on mulberry paper scroll,"World’s earliest full star atlas on paper; shows global diversity of sky mapping

Самый ранний в мире полный звездный атлас на бумаге; отображает глобальное разнообразие карт звездного неба",649-684 CE
